year,popularity,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness
2009,37.0,0.643375,0.7286250000000001,0.608375,137.5855,-5.568875,0.0459875,0.12741499999999997,0.00423320625,0.21868749999999998
2010,31.3,0.6907,0.7983,0.6900999999999999,113.0568,-6.411199999999999,0.13415,0.08866399999999999,9.243000000000001e-06,0.21205999999999997
2011,29.714285714285715,0.6818571428571429,0.7452857142857142,0.638,127.295,-6.728571428571428,0.1293571428571428,0.10785714285714286,0.13614328,0.16534285714285715
2012,27.666666666666668,0.6277777777777778,0.8056666666666666,0.6095555555555555,135.26244444444444,-5.521333333333334,0.09124444444444443,0.04337555555555552,9.124444444444446e-06,0.11617777777777778
2013,25.76923076923077,0.6188461538461538,0.6423846153846154,0.5193846153846153,114.73615384615384,-6.422000000000001,0.03953076923076923,0.08830023076923076,0.007824163846153847,0.2670461538461538
2014,25.941176470588236,0.6024117647058823,0.6402941176470588,0.4999,117.49335294117647,-7.567588235294117,0.05963529411764705,0.28113699999999997,0.057825501176470576,0.1855529411764706
2015,38.63636363636363,0.6279090909090909,0.6522727272727272,0.5465454545454546,110.97572727272727,-6.676272727272728,0.09747272727272728,0.20927272727272725,0.0009166254545454546,0.14865454545454546
2016,33.266666666666666,0.6378666666666667,0.6850666666666666,0.4714,132.16846666666666,-5.771866666666667,0.07868,0.15850973333333332,0.0013837866666666667,0.17468666666666666
2017,39.49333333333333,0.6479333333333334,0.6630666666666666,0.48416,120.24315999999999,-5.744746666666667,0.08910533333333333,0.16702958666666665,0.018446781466666663,0.13896666666666666
2018,69.91494252873564,0.6477701149425287,0.6006945517241379,0.39720712643678163,120.84151724137931,-6.88403448275862,0.11037149425287356,0.24520565839080458,0.04850515105747126,0.18323471264367816
2019,76.92857142857143,0.6521122448979593,0.5378142857142857,0.42307244897959184,117.08860204081634,-8.390948979591837,0.11600204081632653,0.3682044897959184,0.05250189551020407,0.1790673469387755
2020,68.72727272727273,0.5852727272727273,0.5642727272727273,0.4384545454545455,123.69954545454547,-7.513545454545454,0.06102727272727273,0.3684909090909091,0.0003465054545454546,0.1814909090909091
2021,52.25,0.499,0.625,0.37799999999999995,140.11,-7.2635,0.039599999999999996,0.202725,0.0008575,0.227225
2023,54.0,0.602,0.377,0.518,73.877,-6.212999999999999,0.0446,0.731,0.0,0.0808
